unigram,frequency,percentage
।,4399592,4.6869887778821795
र,1812010,1.9303768475372918
छ,1345607,1.4335067680002387
पनि,920320,0.9804385297683347
तथा,518904,0.5528006289669984
लागि,516624,0.5503716913715189
गर्न,493049,0.5252566896989609
गर्ने,492654,0.5248358869137791
भएको,486184,0.5179432438248522
छन्,432031,0.46025277996169095
हो,428198,0.45616939496016756
गरेको,405835,0.43234556537783825
भने,387799,0.4131313906093863
यो,328664,0.3501334850354007
नै,306746,0.32678372441359266
कृषि,287168,0.30592682079767164
हुने,274359,0.2922810919992074
तर,259976,0.2769585440010568
थियो,254358,0.27097355653991445
एक,242114,0.2579297355227862
काम,238659,0.25424904280682914
रहेको,237602,0.25312299586015286
गरी,215011,0.22905627251827562
छ।,211094,0.2248834003421819
विकास,199564,0.2126002203089012
उनले,198510,0.21147736933274527
भन्ने,197874,0.21079982358242727
गरेका,188411,0.20071866723768006
गरिएको,185036,0.19712320040226614
नेपाल,176009,0.18750652510647908
आर्थिक,162583,0.17320349170432586
गर्दै,160398,0.17087575984199121
स्थानीय,157582,0.16787580884687253
सरकारले,157366,0.16764569896940604
त,156129,0.16632789379150767
अहिले,155033,0.16516029922806658
उत्पादन,153615,0.16364967049543935
केही,151982,0.1619099972088524
हुन्छ,150382,0.16020547959798953
हुन,149193,0.15893880994841705
छैन,144331,0.15375920705840743
को,142770,0.1520962370643093
सबै,142086,0.15136755578566544
गरेर,140812,0.15001033363801586
हजार,138830,0.14789886244755945
आफ्नो,138742,0.14780511397896198
मात्र,137609,0.1465981024457697
रुपमा,136694,0.1456233314370575
कारण,136443,0.14535593523685336
धेरै,135010,0.1438293266516243
भएका,134540,0.14332862460343332
निर्माण,131969,0.14058967786747803
समेत,131963,0.1405832859264373
मा,131817,0.14042774869444605
कुरा,131776,0.14038407043066767
क्षेत्रमा,131477,0.14006553870213767
प्रदेश,130901,0.13945191236222704
थिए,127748,0.13609294734532035
नेपाली,127271,0.13558478803258187
वर्ष,127142,0.13544736130020602
यस,125902,0.1341263601517873
के,120066,0.1279091321661649
त्यो,118891,0.12665737704568747
लाख,118434,0.12617052420308475
कुनै,117234,0.12489213599493759
कार्यक्रम,116482,0.12409101271783202
बताए,116382,0.1239844803671531
दिन,114190,0.12164929124027093
वा,113131,0.12052111364658105
दुई,112517,0.11986700501341242
अध्यक्ष,112489,0.11983717595522231
आएको,112183,0.1195111869621448
प्रमुख,109760,0.11692990810519431
विभिन्न,109150,0.11628006076605284
१,105019,0.1118792093595062
बढी,104821,0.11166827530516192
हामी,103517,0.11027909345230867
रूपमा,102168,0.10884197204164987
व्यवस्था,102015,0.10867897754511112
भयो,101677,0.10831889819981634
गर्दा,100763,0.1073451925146109
भए,98547,0.1049844356235658
अनुसार,98426,0.1048555314792443
जानकारी,98021,0.10442407545899464
२,97394,0.10375611762023773
सय,97089,0.103431193950667
नयाँ,97043,0.1033821890693547
समस्या,96138,0.10241807129571037
हामीले,92602,0.09865108737570338
हाम्रो,91502,0.09747923151823513
भनेर,88202,0.09396366394583043
योजना,87747,0.0934789417502413
एउटा,87715,0.09344485139802404
प्रतिशत,87161,0.09285466217526277
अन्य,86395,0.09203862436906216
५,86366,0.09200772998736527
म,86085,0.09170837408195746
खेती,85898,0.09150915858618787
दिने,83174,0.0886072173536938
रहेका,82076,0.08743749214323913
लगानी,81352,0.08666619792432367
आवश्यक,81286,0.08659588657287558
प्रयोग,81220,0.0865255752214275
समय,81114,0.08641265092970782
हुन्,81027,0.08631996778461716
राष्ट्रिय,80794,0.08607174740753525
३,79824,0.08503838360594962
छन्।,79540,0.08473583173002146
जिल्ला,78930,0.08408598439087998
भन्दा,78910,0.0840646779207442
सहयोग,77935,0.08302598750162461
१०,77727,0.08280440021221244
सेवा,77531,0.08259559680488174
नेपालमा,77128,0.08216627143164565
सरकार,76915,0.08193935752469952
क्षेत्र,76096,0.08106685757263908
नेपालको,75742,0.08068973305123567
गरे,75674,0.080617291052774
बजेट,75523,0.08045642720324882
अब,75501,0.08043299008609944
सञ्चालन,75005,0.07990458962673196
पर्ने,74985,0.07988328315659617
नीति,74340,0.07919614949471705
करोड,74124,0.07896603961725057
अवस्था,74021,0.07885631129605128
सामाजिक,73958,0.07878919591512354
स्वास्थ्य,72406,0.07713581383258654
तीन,71440,0.07610671132502807
उद्योग,70957,0.07559216007124883
मात्रै,70865,0.07549415030862422
घर,70395,0.07499344826043325
उनको,70176,0.0747601424124464
गर्नु,69959,0.0745289672114731
ठूलो,69201,0.07372145199332682
कि,68616,0.07309823774185506
उनी,67637,0.07205528602870834
भन्दै,67627,0.07204463279364044
होइन,67224,0.07161530742040435
राम्रो,66922,0.07129357972135399
सुरु,66695,0.07105175128531281
वटा,66683,0.07103896740323135
उहाँले,66052,0.0703667482704473
पहिलो,65645,0.06993316160318404
सहकारी,65346,0.06961462987465403
६,65284,0.0695485798172331
४,63573,0.06772581129711659
साथै,63306,0.06744136992080385
अघि,62866,0.06697262757781655
बनाउने,62447,0.06652625702847183
बनाउन,62437,0.06651560379340395
का,61977,0.06602555498028087
राजनीतिक,61615,0.06563990787082313
शिक्षा,61596,0.06561966672419413
मैले,61266,0.06526810996695366
वडा,61239,0.06523934623227036
मन्त्री,61054,0.06504226138351434
यसको,60587,0.06454475530584372
उक्त,59916,0.0638299232327881
तरकारी,59139,0.06300216686801281
प्रधानमन्त्री,58861,0.06270600693312538
सडक,58504,0.0623256864412016
भएर,58073,0.06186653200977541
कार्यक्रममा,57823,0.061600201133078084
बताउनुभयो,57802,0.0615778293394355
प्राप्त,57022,0.060746877004139846
जना,56917,0.06063501803592697
सरकारको,56908,0.060625430124365866
कम,56879,0.06059453574266898
मेरो,56800,0.06051037518563262
अगाडि,56694,0.06039745089391295
यी,56684,0.06038679765884506
आएका,55864,0.059513232383277825
हो।,55819,0.059465292825472305
दिएको,55352,0.05896778674780171
देखि,55199,0.05880479225126294
काठमाडौं,55074,0.058671626812914275
यस्तो,54717,0.0582913063209905
खर्च,54508,0.05806865370807152
गरिने,54309,0.05785665433022046
सार्वजनिक,53974,0.05749977095544604
माग,53435,0.0569255615852866
पर्यटन,53392,0.05687975267449466
आयोजना,53339,0.05682329052863483
अवस्थामा,53317,0.05679985341148547
कसरी,53270,0.05674978320666636
सम्पन्न,53259,0.05673806464809169
भएकाले,53150,0.05662194438585165
आज,52683,0.05612443830818104
थप,52573,0.05600725272243422
सकिन्छ,52509,0.0559390720179997
हुँदै,52234,0.05564610805363265
साथ,51991,0.055387234441482844
समयमा,51397,0.05475443227844999
व्यवस्थापन,50687,0.05399805258862959
निर्णय,50665,0.053974615471480226
गते,50641,0.05394904770731729
कार्यालय,50436,0.05373065638842547
पाँच,50343,0.05363158130229406
परेको,50336,0.053624124037746544
तयार,50138,0.05341318998340226
गएको,49722,0.05297001540457791
रु,49647,0.052890116141568716
स्थापना,49468,0.05269942323385343
१५,49332,0.05255453923693008
हुँदा,49256,0.052473574650414086
उल्लेख,49090,0.05229673094828707
पानी,49059,0.052263705919576596
गर्नुपर्ने,49057,0.052261575272563025
५०,49042,0.05224559541996118
ती,48978,0.052177414715526664
